work_year;experience_level;employment_type;job_title;salary;salary_currency;salary_in_usd;employee_residence;remote_ratio;company_location;company_size
2023;Senior;FT;Data Strategist;72000;USD;72000;CA;0;CA;M
2023;Senior;FT;Data Entry levelgineer;253200;USD;253200;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;90700;USD;90700;US;0;US;M
2023;Senior;FT;Computer Vision Entry levelgineer;342810;USD;342810;US;0;US;M
2023;Senior;FT;Computer Vision Entry levelgineer;184590;USD;184590;US;0;US;M
2023;Mid/Intermediate level;FT;Data Entry levelgineer;162500;USD;162500;US;0;US;M
2023;Mid/Intermediate level;FT;Data Entry levelgineer;130000;USD;130000;US;0;US;M
2023;Mid/Intermediate level;FT;Data Analyst;105380;USD;105380;US;0;US;M
2023;Mid/Intermediate level;FT;Data Analyst;64500;USD;64500;US;0;US;M
2023;Entry level;FT;Data Quality Analyst;100000;USD;100000;NG;100;NG;L
2023;Entry level;FT;Compliance Data Analyst;30000;USD;30000;NG;100;NG;L
2022;Mid/Intermediate level;FT;ML Entry levelgineer;1650000;INR;20984;IN;50;IN;L
2023;Entry level;FT;Applied SciEntry leveltist;204620;USD;204620;US;0;US;L
2023;Entry level;FT;Applied SciEntry leveltist;110680;USD;110680;US;0;US;L
2023;Senior;FT;Data Entry levelgineer;270703;USD;270703;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;221484;USD;221484;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;212750;USD;212750;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;185000;USD;185000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;262000;USD;262000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;245000;USD;245000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;275300;USD;275300;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;183500;USD;183500;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;218500;USD;218500;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;199098;USD;199098;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;203300;USD;203300;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;123600;USD;123600;US;100;US;M
2023;Senior;FT;ReSeniorntry leveliorarch Entry levelgineer;189110;USD;189110;US;0;US;M
2023;Senior;FT;ReSeniorntry leveliorarch Entry levelgineer;139000;USD;139000;US;0;US;M
2023;Executive level;FT;Data SciEntry leveltist;258750;USD;258750;US;0;US;M
2023;Executive level;FT;Data SciEntry leveltist;185000;USD;185000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;231500;USD;231500;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;166000;USD;166000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;172500;USD;172500;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;110500;USD;110500;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;238000;USD;238000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;176000;USD;176000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;237000;USD;237000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;201450;USD;201450;US;100;US;M
2023;Senior;FT;Applied SciEntry leveltist;309400;USD;309400;US;0;US;L
2023;Senior;FT;Applied SciEntry leveltist;159100;USD;159100;US;0;US;L
2023;Senior;FT;Data Entry levelgineer;115000;USD;115000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;81500;USD;81500;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;237000;USD;237000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;201450;USD;201450;US;100;US;M
2023;Senior;FT;Computer Vision Entry levelgineer;280000;USD;280000;US;0;US;M
2023;Senior;FT;Computer Vision Entry levelgineer;210000;USD;210000;US;0;US;M
2023;Senior;FT;Data Architect;280100;USD;280100;US;100;US;M
2023;Senior;FT;Data Architect;168100;USD;168100;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;193500;USD;193500;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;139000;USD;139000;US;100;US;M
2023;Mid/Intermediate level;FT;Data SciEntry leveltist;510000;HKD;65062;HK;0;HK;L
2023;Senior;FT;ML Entry levelgineer;150000;USD;150000;PT;100;US;M
2023;Mid/Intermediate level;FT;Applied ML Entry levelgineer;65000;EUR;69751;IN;100;DE;S
2022;Entry level;FT;AI Developer;300000;USD;300000;IN;50;IN;L
2023;Mid/Intermediate level;FT;ML Entry levelgineer;90000;EUR;96578;NL;100;NL;L
2023;Senior;FT;Business IntelligEntry levelce Entry levelgineer;185900;USD;185900;US;0;US;M
2023;Senior;FT;Business IntelligEntry levelce Entry levelgineer;129300;USD;129300;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;225000;USD;225000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;175000;USD;175000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;185000;USD;185000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;140000;USD;140000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;45000;EUR;48289;ES;0;ES;M
2023;Senior;FT;Data SciEntry leveltist;36000;EUR;38631;ES;0;ES;M
2023;Senior;FT;Data SciEntry leveltist;105000;USD;105000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;70000;USD;70000;US;0;US;M
2023;Entry level;FT;ML Entry levelgineer;163196;USD;163196;US;0;US;M
2023;Entry level;FT;ML Entry levelgineer;145885;USD;145885;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;217000;USD;217000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;185000;USD;185000;US;100;US;M
2023;Senior;FT;Data Analyst;202800;USD;202800;US;0;US;L
2023;Senior;FT;Data Analyst;104300;USD;104300;US;0;US;L
2023;Senior;FT;Data Analyst;145000;USD;145000;US;0;US;M
2023;Senior;FT;Data Analyst;65000;USD;65000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;165000;USD;165000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;132300;USD;132300;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;179170;USD;179170;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;94300;USD;94300;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;152500;USD;152500;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;116450;USD;116450;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;247300;USD;247300;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;133800;USD;133800;US;0;US;M
2023;Senior;FT;ReSeniorntry leveliorarch Entry levelgineer;203000;USD;203000;US;0;US;M
2023;Senior;FT;ReSeniorntry leveliorarch Entry levelgineer;133000;USD;133000;US;0;US;M
2023;Entry level;FT;ReSeniorntry leveliorarch SciEntry leveltist;220000;USD;220000;US;50;US;L
2022;Entry level;FT;ML Entry levelgineer;54000;CHF;56536;CH;100;CH;S
2023;Senior;FT;Data SciEntry leveltist;150000;USD;150000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;120000;USD;120000;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;289800;USD;289800;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;214000;USD;214000;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;179820;USD;179820;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;143860;USD;143860;US;0;US;M
2023;Senior;FT;ML Entry levelgineer;283200;USD;283200;US;100;US;M
2023;Senior;FT;ML Entry levelgineer;188800;USD;188800;US;100;US;M
2023;Senior;FT;Analytics Entry levelgineer;289800;USD;289800;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;214200;USD;214200;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;185900;USD;185900;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;129300;USD;129300;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;252000;USD;252000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;129000;USD;129000;US;0;US;M
2023;Mid/Intermediate level;FT;Data Analytics Manager;155000;USD;155000;US;0;US;M
2023;Mid/Intermediate level;FT;Data Analytics Manager;140000;USD;140000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;161800;USD;161800;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;141600;USD;141600;US;100;US;M
2023;Senior;FT;ML Entry levelgineer;342300;USD;342300;US;0;US;L
2023;Senior;FT;ML Entry levelgineer;176100;USD;176100;US;0;US;L
2023;Mid/Intermediate level;FT;Data Entry levelgineer;100000;USD;100000;US;100;US;M
2023;Mid/Intermediate level;FT;Data Entry levelgineer;70000;USD;70000;US;100;US;M
2023;Entry level;FT;Data Entry levelgineer;85000;USD;85000;US;0;US;M
2023;Entry level;FT;Data Entry levelgineer;65000;USD;65000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;138784;USD;138784;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;83270;USD;83270;US;100;US;M
2023;Entry level;FT;Data Analyst;75000;USD;75000;US;0;US;M
2023;Entry level;FT;Data Analyst;70000;USD;70000;US;0;US;M
2023;Senior;FT;Data Analyst;204500;USD;204500;US;0;US;M
2023;Senior;FT;Data Analyst;138900;USD;138900;US;0;US;M
2023;Senior;FT;ML Entry levelgineer;318300;USD;318300;US;100;US;M
2023;Senior;FT;ML Entry levelgineer;212200;USD;212200;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;95000;USD;95000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;75000;USD;75000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;195000;USD;195000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;160000;USD;160000;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;230000;USD;230000;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;143200;USD;143200;US;0;US;M
2023;Mid/Intermediate level;FT;Data Entry levelgineer;100000;USD;100000;US;100;US;M
2023;Mid/Intermediate level;FT;Data Entry levelgineer;70000;USD;70000;US;100;US;M
2023;Mid/Intermediate level;FT;Business Data Analyst;105000;USD;105000;US;50;US;L
2023;Mid/Intermediate level;FT;Applied Data SciEntry leveltist;1700000;INR;20670;IN;100;IN;L
2023;Mid/Intermediate level;FT;Data Analyst;38000;GBP;46178;GB;0;GB;M
2023;Mid/Intermediate level;FT;Data Analyst;35000;GBP;42533;GB;0;GB;M
2023;Senior;FT;Data Entry levelgineer;145000;USD;145000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;115000;USD;115000;US;0;US;M
2023;Senior;FT;Data Analyst;168400;USD;168400;US;0;US;M
2023;Senior;FT;Data Analyst;105200;USD;105200;US;0;US;M
2023;Senior;FT;Applied SciEntry leveltist;309400;USD;309400;US;0;US;L
2023;Senior;FT;Applied SciEntry leveltist;159100;USD;159100;US;0;US;L
2023;Senior;FT;ML Entry levelgineer;190000;USD;190000;US;0;US;M
2023;Senior;FT;ML Entry levelgineer;150000;USD;150000;US;0;US;M
2023;Mid/Intermediate level;FT;Data Entry levelgineer;162500;USD;162500;US;0;US;M
2023;Mid/Intermediate level;FT;Data Entry levelgineer;130000;USD;130000;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;150000;USD;150000;US;100;US;M
2023;Senior;FT;Analytics Entry levelgineer;120000;USD;120000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;145000;USD;145000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;120000;USD;120000;US;0;US;M
2023;Senior;FT;Applied SciEntry leveltist;222200;USD;222200;US;0;US;L
2023;Senior;FT;Applied SciEntry leveltist;136000;USD;136000;US;0;US;L
2023;Senior;FT;Data Analyst;45000;GBP;54685;CF;100;CF;M
2023;Senior;FT;Data Analyst;35000;GBP;42533;CF;100;CF;M
2023;Senior;FT;Data Entry levelgineer;241000;USD;241000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;155000;USD;155000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;220000;USD;220000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;190000;USD;190000;US;100;US;M
2023;Mid/Intermediate level;FT;Data SciEntry leveltist;55000;GBP;66837;GB;0;GB;M
2023;Mid/Intermediate level;FT;Data SciEntry leveltist;45000;GBP;54685;GB;0;GB;M
2020;Executive level;FT;Staff Data Analyst;15000;USD;15000;NG;0;CA;M
2023;Mid/Intermediate level;FT;ETL Entry levelgineer;70000;GBP;85066;GB;100;GB;M
2023;Mid/Intermediate level;FT;ETL Entry levelgineer;47500;GBP;57723;GB;100;GB;M
2023;Entry level;FT;Data Analyst;85000;USD;85000;US;100;US;M
2023;Entry level;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;160000;USD;160000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;140000;USD;140000;US;0;US;M
2023;Mid/Intermediate level;FT;ML Entry levelgineer;300000;USD;300000;US;0;US;M
2023;Mid/Intermediate level;FT;ML Entry levelgineer;250000;USD;250000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;228000;USD;228000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;186000;USD;186000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;190000;USD;190000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;170000;USD;170000;US;0;US;M
2023;Mid/Intermediate level;FT;ReSeniorntry leveliorarch Entry levelgineer;230000;USD;230000;US;0;US;M
2023;Mid/Intermediate level;FT;ReSeniorntry leveliorarch Entry levelgineer;200000;USD;200000;US;0;US;M
2023;Senior;FT;Data Architect;180000;USD;180000;US;100;US;M
2023;Senior;FT;Data Architect;115000;USD;115000;US;100;US;M
2023;Senior;FT;Data Architect;200000;USD;200000;US;100;US;M
2023;Senior;FT;Data Architect;115000;USD;115000;US;100;US;M
2023;Senior;FT;Data DevOps Entry levelgineer;50000;EUR;53654;FR;50;FR;S
2023;Executive level;FT;Data Entry levelgineer;220000;USD;220000;US;0;US;M
2023;Executive level;FT;Data Entry levelgineer;205000;USD;205000;US;0;US;M
2023;Mid/Intermediate level;FT;Data Entry levelgineer;180000;USD;180000;US;0;US;M
2023;Mid/Intermediate level;FT;Data Entry levelgineer;130000;USD;130000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;200000;USD;200000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;150000;USD;150000;US;100;US;M
2023;Senior;FT;Computer Vision Entry levelgineer;215000;USD;215000;US;0;US;M
2023;Senior;FT;Computer Vision Entry levelgineer;170000;USD;170000;US;0;US;M
2023;Senior;FT;ML Entry levelgineer;247500;USD;247500;US;0;US;M
2023;Senior;FT;ML Entry levelgineer;172200;USD;172200;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;224000;USD;224000;CA;0;CA;M
2023;Senior;FT;Data SciEntry leveltist;176000;USD;176000;CA;0;CA;M
2023;Senior;FT;Data Analyst;120000;USD;120000;US;100;US;M
2023;Senior;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;Entry level;FT;Data Entry levelgineer;1400000;INR;17022;IN;100;IN;L
2023;Senior;FT;Applied Data SciEntry leveltist;100000;AUD;68318;AU;100;FI;M
2023;Mid/Intermediate level;FT;AI Developer;100000;SGD;75020;FI;0;FI;M
2023;Senior;FT;Data Analyst;140000;USD;140000;US;0;US;M
2023;Senior;FT;Data Analyst;120000;USD;120000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;128000;USD;128000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;81500;USD;81500;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;145000;USD;145000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;115000;USD;115000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;185000;USD;185000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;140000;USD;140000;US;0;US;M
2023;Executive level;FT;Head of Data;329500;USD;329500;US;0;US;M
2023;Executive level;FT;Head of Data;269600;USD;269600;US;0;US;M
2023;Senior;FT;Data Quality Analyst;100000;USD;100000;US;0;US;M
2023;Senior;FT;Data Quality Analyst;80000;USD;80000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;250000;USD;250000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;162500;USD;162500;US;0;US;M
2023;Mid/Intermediate level;FT;AI Developer;200000;USD;200000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;145000;USD;145000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;100000;USD;100000;US;0;US;M
2023;Executive level;FT;Data Entry levelgineer;145000;USD;145000;US;0;US;M
2023;Executive level;FT;Data Entry levelgineer;115000;USD;115000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;203500;USD;203500;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;152000;USD;152000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;239000;USD;239000;US;0;US;L
2023;Senior;FT;Data SciEntry leveltist;122900;USD;122900;US;0;US;L
2023;Senior;FT;Data SciEntry leveltist;237000;USD;237000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;145000;USD;145000;US;0;US;M
2023;Senior;FT;Data SciEntry levelce Manager;191765;USD;191765;US;0;US;M
2023;Senior;FT;Data SciEntry levelce Manager;134236;USD;134236;US;0;US;M
2023;Senior;FT;Analytics Entry levelgineer;190000;USD;190000;US;100;US;M
2023;Senior;FT;Analytics Entry levelgineer;112000;USD;112000;US;100;US;M
2022;Senior;FT;Data SciEntry leveltist;84000;EUR;88256;ES;100;GB;L
2023;Entry level;FT;Data Entry levelgineer;85000;USD;85000;US;0;US;M
2023;Entry level;FT;Data Entry levelgineer;65000;USD;65000;US;0;US;M
2023;Senior;FT;Data Analyst;135000;USD;135000;US;0;US;M
2023;Senior;FT;Data Analyst;105500;USD;105500;US;0;US;M
2023;Senior;FT;ReSeniorntry leveliorarch Entry levelgineer;293000;USD;293000;US;0;US;M
2023;Senior;FT;ReSeniorntry leveliorarch Entry levelgineer;185000;USD;185000;US;0;US;M
2023;Senior;FT;Data Analyst;80000;USD;80000;US;0;US;M
2023;Senior;FT;Data Analyst;70000;USD;70000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;220000;USD;220000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;160000;USD;160000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;175000;USD;175000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;145000;USD;145000;US;100;US;M
2023;Senior;FT;Data Analyst;200000;USD;200000;US;0;US;M
2023;Senior;FT;Data Analyst;148500;USD;148500;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;45000;EUR;48289;ES;0;ES;M
2023;Senior;FT;Data SciEntry leveltist;36000;EUR;38631;ES;0;ES;M
2023;Senior;FT;Data Entry levelgineer;240500;USD;240500;US;0;US;L
2023;Senior;FT;Data Entry levelgineer;123700;USD;123700;US;0;US;L
2023;Senior;FT;Analytics Entry levelgineer;152900;USD;152900;US;100;US;M
2023;Senior;FT;Analytics Entry levelgineer;117100;USD;117100;US;100;US;M
2023;Senior;FT;Analytics Entry levelgineer;173000;USD;173000;US;100;US;M
2023;Senior;FT;Analytics Entry levelgineer;113000;USD;113000;US;100;US;M
2023;Senior;FT;Applied SciEntry leveltist;260000;USD;260000;US;0;US;L
2023;Senior;FT;Applied SciEntry leveltist;136000;USD;136000;US;0;US;L
2023;Executive level;FT;Data Entry levelgineer;175000;USD;175000;US;0;US;M
2023;Executive level;FT;Data Entry levelgineer;110000;USD;110000;US;0;US;M
2023;Senior;FT;Applied SciEntry leveltist;260000;USD;260000;US;0;US;L
2023;Senior;FT;Applied SciEntry leveltist;136000;USD;136000;US;0;US;L
2023;Senior;FT;ReSeniorntry leveliorarch SciEntry leveltist;130000;USD;130000;US;100;US;M
2023;Senior;FT;ReSeniorntry leveliorarch SciEntry leveltist;110000;USD;110000;US;100;US;M
2023;Senior;FT;Applied SciEntry leveltist;205000;USD;205000;US;100;US;M
2023;Senior;FT;Applied SciEntry leveltist;184000;USD;184000;US;100;US;M
2023;Senior;FT;Data Analyst;149500;USD;149500;US;100;US;M
2023;Senior;FT;Data Analyst;127075;USD;127075;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;195000;USD;195000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;160000;USD;160000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;219535;USD;219535;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;146115;USD;146115;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;170000;USD;170000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;135000;USD;135000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;175000;USD;175000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;145000;USD;145000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;199000;USD;199000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;162000;USD;162000;US;0;US;M
2023;Senior;FT;Applied SciEntry leveltist;222200;USD;222200;US;0;US;L
2023;Senior;FT;Applied SciEntry leveltist;136000;USD;136000;US;0;US;L
2023;Executive level;FT;Analytics Entry levelgineer;221000;USD;221000;US;100;US;M
2023;Executive level;FT;Analytics Entry levelgineer;153000;USD;153000;US;100;US;M
2023;Senior;FT;Data Analyst;187000;USD;187000;US;0;US;M
2023;Senior;FT;Data Analyst;128000;USD;128000;US;0;US;M
2023;Senior;FT;ReSeniorntry leveliorarch SciEntry leveltist;210000;USD;210000;US;0;US;M
2023;Senior;FT;ReSeniorntry leveliorarch SciEntry leveltist;136000;USD;136000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;175000;USD;175000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;100000;USD;100000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;179000;USD;179000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;109000;USD;109000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;245000;USD;245000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;180000;USD;180000;US;0;US;M
2023;Senior;FT;Data Analyst;142000;USD;142000;US;100;US;M
2023;Senior;FT;Data Analyst;75000;USD;75000;US;100;US;M
2023;Senior;FT;Data Manager;198800;USD;198800;US;0;US;M
2023;Senior;FT;Data Manager;105200;USD;105200;US;0;US;M
2023;Senior;FT;Data Analyst;125000;USD;125000;US;100;US;M
2023;Senior;FT;Data Analyst;112000;USD;112000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;210000;USD;210000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;155000;USD;155000;US;0;US;M
2023;Senior;FT;Data Manager;115000;USD;115000;US;100;US;M
2023;Senior;FT;Data Manager;86000;USD;86000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;165000;USD;165000;US;0;US;M
2023;Senior;FT;Data SciEntry leveltist;140000;USD;140000;US;0;US;M
2023;Senior;FT;Data Analyst;139000;USD;139000;US;0;US;M
2023;Senior;FT;Data Analyst;106000;USD;106000;US;0;US;M
2023;Entry level;FT;Data Analyst;55000;CAD;40663;CA;0;CA;L
2022;Senior;FT;AI Developer;275000;USD;275000;CA;0;CA;S
2023;Senior;FL;Machine Learning ReSeniorntry leveliorarcher;50000;USD;50000;UA;50;UA;S
2023;Mid/Intermediate level;FT;ML Entry levelgineer;280700;USD;280700;US;100;US;M
2023;Mid/Intermediate level;FT;ML Entry levelgineer;150450;USD;150450;US;100;US;M
2023;Entry level;FT;Data SciEntry leveltist;70000;CAD;51753;CA;100;CA;L
2023;Senior;FT;Data Architect;250500;USD;250500;US;0;US;M
2023;Senior;FT;Data Architect;159500;USD;159500;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;145000;USD;145000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;115000;USD;115000;US;0;US;M
2023;Senior;FT;Data Analyst;140000;USD;140000;US;0;US;M
2023;Senior;FT;Data Analyst;120000;USD;120000;US;0;US;M
2023;Entry level;FT;Data SciEntry leveltist;130001;USD;130001;US;100;US;M
2023;Entry level;FT;Data SciEntry leveltist;71907;USD;71907;US;100;US;M
2023;Mid/Intermediate level;FT;Data SciEntry leveltist;93918;USD;93918;US;100;US;M
2023;Mid/Intermediate level;FT;Data SciEntry leveltist;51962;USD;51962;US;100;US;M
2023;Senior;FT;Data Analyst;175000;USD;175000;CA;100;CA;M
2023;Senior;FT;Data Analyst;135000;USD;135000;CA;100;CA;M
2023;Entry level;FT;Data Entry levelgineer;85000;USD;85000;US;0;US;M
2023;Entry level;FT;Data Entry levelgineer;65000;USD;65000;US;0;US;M
2023;Senior;FT;ML Entry levelgineer;257000;USD;257000;US;0;US;M
2023;Senior;FT;ML Entry levelgineer;147000;USD;147000;US;0;US;M
2023;Senior;FT;Data Entry levelgineer;222000;USD;222000;US;100;US;M
2023;Senior;FT;Data Entry levelgineer;175000;USD;175000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;203000;USD;203000;US;100;US;M
2023;Senior;FT;Data SciEntry leveltist;133200;USD;133200;US;100;US;M
2023;Entry level;FT;Applied SciEntry leveltist;213660;USD;213660;US;0;US;L
